song,singer,genre,album,userRating
Nazam Nazam,"Arko, Ayushman Khurana",Romance,Bareilly Ki Barfi,9.5/10
O Saathi,"Atif Aslam, Payal Dev",Romantic,Baaghi 2,9.4/10
Tere Jaisa,"Arko, Tulsi Kumar",Romantic,Satyameva Jayate,9.2/10
Mera Intkam Dekhegi,Krishna Beuraa,Sad,Shaadi Mein Zaroor Aana,9.6/10
Gerua,"Antara Mitra, Arijit Singh",Romantic,Dilwale,9.3/10
Suraiyya,"Shreya Ghoshal, Vishal Dadlani",Dance,Thugs of Hindostan,7.7/10
Gold Tamba,Nakash Aziz,Dance,Batti Gul Meter Chalu,9.2/10
Ae Dil Hai Mushkil,Arijit Singh,Sad,Ae Dil Hai Mushkil,9.3/10
Prem Ratan Dhan Payo,Palak Muchhal,DanceRomantic,Prem Ratan Dhan Payo,7.7/10
Mohabbat,Sunidhi Chauhan,Dance,Fanney Khan,9.0/10
Nainowale Ne,Neeti Mohan,Romantic,Padmaavat,9.5/10
Mummy Kasam,"Gurinder Seagal, Payal Dev",Dance,Nawabzaade,9.4/10
Nasha,Amit Gupta,Sensual,Game Paisa Ladki,9.0/10
Bulleya,"Amit Mishra, Shilpa Rao",DanceSad,Ae Dil Hai Mushkil,9.2/10
Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",Dance,Kapoor & Sons,9.0/10
Musafir,"Atif Aslam, Palak Muchhal",Sad,Sweetiee Weds NRI,9.4/10
Binte Dil,Arijit Singh,Dance,Padmaavat,9.4/10
Halka Halka,"Divya Kumar, Sunidhi Chauhan",Romantic,Fanney Khan,9.1/10
Humsafar,"Akhil Sachdeva, Mansheel Gujral",RomanticSad,Badrinath Ki Dulhania,9.3/10
Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",Dance,Gold,9.2/10
Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",Sensual,Hate Story 4,9.1/10
Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",DanceRomantic,Kabhi Khushi Kabhie Gham,9.0/10
Sawarne Lage,Jubin Nautiyal,Romantic,Mitron,9.8/10
Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",Dance,Judwaa 2,8.9/10
Selfish,"Atif Aslam, Iulia Vantur",Romantic,Race 3,6.8/10
Oonchi Hai Building,"Anu Malik, Neha Kakkar",Dance,Judwaa 2,8.9/10
Shikwa Nahin Kisi Se,Kumar Sanu,Sad,Naseeb,8.2/10
Sanam Re,Arijit Singh,Romantic,Sanam Re,8.7/10
Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",Dance,Saajan,8.2/10
Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",Sad,Half Girlfriend,9.4/10
Suit Suit,"Arjun, Guru Randhawa",Dance,Hindi Medium,9.0/10
Nachange Saari Raat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",Dance,Junooniyat,8.9/10
Ishq Di Baajiyan,Diljit Dosanjh,Romantic,Soorma,9.9/10
Hard Hard,"Mika Singh, Prakriti Kakar, Sachet Tandon",Dance,Batti Gul Meter Chalu,8.7/10
Udi Udi Jaye,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",Dance,Raees,8.9/10
Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",Romantic,Stree,9.6/10
Nachle Na,"Guru Randhawa, Neeti Mohan",Dance,Dil Juunglee,9.5/10
Hatt Ja Tau,Sunidhi Chauhan,Dance,Veerey Ki Wedding,8.7/10
Chittiyaan Kalaiyaan,"Anjjan, Kanika Kapoor, Meet Bros",Dance,Roy,8.4/10
La La La (Baazaar),"Bilal Saeed, Neha Kakkar",DanceRomantic,Baazaar,9.5/10
Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",Sad,Genius,9.3/10
Hua Hain Aaj Pehli Baar,"Armaan Malik, Palak Muchhal",Romantic,Sanam Re,8.3/10
Jay-Jaykara,Kailash Kher,Sad,Baahubali 2 - The Conclusion,9.2/10
Hawa Hawa,"Mika Singh, Prakriti Kakkar",Dance,Mubarakan,8.9/10
Bhangra Ta Sajda,"Neha Kakkar, Romy, Shashwat Sachdev, Surya Ragunaathan",Dance,Veere Di Wedding,8.7/10
Deewani Mastani,"Ganesh Chandanshive, Shreya Ghoshal",Dance,Bajirao Mastani,9.1/10
O Meri Laila,"Atif Aslam, Jyotica Tangri",Romantic,Laila Majnu,9.6/10
Lo Safar,Jubin Nautiyal,Romantic,Baaghi 2,9.4/10
Chalte Chalte,Atif Aslam,Romantic,Mitron,9.6/10
Party Chale On,"Iulia Vantur, Mika Singh",Dance,Race 3,8.6/10
Sweety Tera Drama,"Dev Negi, Pawni Pandey, Shraddha Pandit",Dance,Bareilly Ki Barfi,9.1/10
Ek Dil Ek Jaan,Shivam Pathak,Romantic,Padmaavat,9.2/10
Ae Watan,Arijit Singh,Patriotic,Raazi,9.6/10
Sunn Le Zara,Arnab Dutta,Sad,1921,9.6/10
Naam Hai Mera,Neeti Mohan,RomanticSad,Hate Story 4,8.8/10
Jiyo Re Baahubali,"Daler Mehndi, Ramya Behara, Sanjeev Chimmalgi",Dance,Baahubali 2,8.7/10
Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",RomanticSad,Baaghi 2,9.4/10
Mundiyan,"Navraj Hans, Palak Muchhal",Dance,Baaghi 2,9.0/10
Chitthi Aai Hai,Pankaj Udhas,Sad,Naam,8.1/10
Hawayein,Arijit Singh,Romantic,Jab Harry Met Sejal,9.6/10
Channa Mereya,Arijit Singh,Sad,Ae Dil Hai Mushkil,9.3/10
Lag Ja Gale,Jonita Gandhi,Romantic,Saheb Biwi Aur Gangster 3,9.4/10
Sleepy Sleepy Akiyaan,"Asees Kaur, Yasser Desai",Dance,Bhaiaji Superhit,9.2/10
Subah Subah,"Amaal Mallik, Arijit Singh, Prakriti Kakkar",Dance,Sonu Ke Titu Ki Sweety,9.5/10
Naina Da Kya Kasoor,Amit Trivedi,Romantic,Andha Dhun,9.6/10
Soorma Anthem,Shankar Mahadevan,Motivational,Soorma,9.9/10
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Sad,Tamasha,9.4/10
Tum Se,Jubin Nautiyal,RomanticSad,Jalebi,9.7/10
Kem Cho,"Ikka, Jyotica Tangri",Dance,Baazaar,9.4/10
Aaj Se Teri,Arijit Singh,Romantic,Padman,9.4/10
Maana Ke Hum Yaar Nahin,Parineeti Chopra,Romantic,Meri Pyaari Bindu,9.5/10
Nain Na Jodeen,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",RomanticSad,Badhaai Ho,9.3/10
Wajah Tum Ho,"Altamash Faridi, Mithoon, Tulsi Kumar",RomanticSadSensual,Wajah Tum Ho,8.1/10
Pyaar De,Ankit Tiwari,Romantic,Beiimaan Love,8.5/10
Ik Vaari Aa,Arijit Singh,Romantic,Raabta,9.4/10
Radha,"Shekhar Ravjiani, Shreya Ghoshal, Udit Narayan, Vishal Dadlani",Dance,Student of the Year,8.6/10
Mehbooba,"Mohammed Rafi, Neha Kakkar, Yasser Desai",Dance,Fukrey Returns,9.4/10
Hamari Adhuri Kahani,Arijit Singh,Sad,Hamari Adhuri Kahani,9.3/10
Tere Sang Yaara,Atif Aslam,Romantic,Rustom,9.1/10
Radha,"Shahid Mallya, Sunidhi Chauhan",Romantic,Jab Harry Met Sejal,9.2/10
Kamli,Sunidhi Chauhan,Dance,Dhoom 3,9.0/10
Maiya Yashoda,"Alka Yagnik, Anuradha Paudwal, Kavita Krishnamurthy",Dance,Hum Saath-Saath Hain,7.2/10
Lae Dooba,Sunidhi Chauhan,Sad,Aiyaary,9.7/10
Abhi Toh Party Shuru Hui Hai,"Aastha Gill, Badshah",Dance,Khoobsurat,8.5/10
Hello Hello,Rekha Bhardwaj,Dance,Pataakha,7.7/10
Bola Har Har Har,"Aaman Trikha, Badshah, Sukhwinder Singh",Devotional,Shivaay,9.3/10
Bolo Har Har Har,"Anugrah, Badshah, Megha Sriram Dalton, Mithoon, Mohit Chauhan, Sukhwinder Singh",Dance,Shivaay,9.3/10
Tera Mera Rishta,"KK, Shreya Ghoshal",Romantic,Jalebi,9.7/10
Gal Ban Gayi,"Meet Bros, Neha Kakkar, Sukhbir Singh, Yo Yo Honey Singh",Dance,Single,9.0/10
Bol Do Na Zara,Armaan Malik,Romantic,Azhar,9.2/10
Lakk Mera Hit,"Mannat Noor, Rochak Kohli, Sukriti Kakar",Dance,Sonu Ke Titu Ki Sweety,9.2/10
Sexy Baliye,Mika Singh,Dance,Dil Chahta Hai,8.8/10
Main Jahaan Rahoon,Rahat Fateh Ali Khan,Sad,Namastey London,9.1/10
Hasi Ban Gaye,Shreya Ghoshal,Romantic,Hamari Adhuri Kahani,9.3/10
Nachde Ne Saare,"Harshdeep Kaur, Jasleen Royal, Siddharth Mahadevan",Dance,Baar Baar Dekho,9.2/10
Manma Emotion Jaage,"Amit Mishra, Antara Mitra, Anushka Manchanda",DanceRomantic,Dilwale,9.0/10
Theher Ja,Armaan Malik,Romantic,October,9.6/10
Boond Boond,"Jubin Nautiyal, Neeti Mohan",Romantic,Hate Story 4,9.3/10
Adhura Lafz,"Pratibha Singh Baghel, Rahat Fateh Ali Khan",Romantic,Baazaar,9.7/10
Trippy Trippy,"Badshah, Benny Dayal, Brijesh Shandilya, Neha Kakkar",Dance,Bhoomi,8.5/10
Tukur Tukur,"Arijit Singh, Kanika Kapoor, Nakash Aziz, Neha Kakkar, Siddharth Mahadevan",Dance,Dilwale,8.9/10
Teri Khair Mangdi,Bilal Saeed,Sad,Baar Baar Dekho,9.6/10
Pinga,"Shreya Ghoshal, Vasihali Made",Dance,Bajirao Mastani,8.7/10
Tere Thumke Sapna Chaudhary,"Gunwant Sen, Khushboo Jain, Saumya Upadhyay",Dance,Nanu Ki Jaanu,9.2/10
Badnaamiyan,Armaan Malik,Romantic,Hate Story 4,9.2/10
Malhari,Vishal Dadlani,Dance,Bajirao Mastani,9.1/10
High Heels Te Nachche,"Aditi Singh Sharma, Jaz Dhami, Meet Bros",Dance,Ki & Ka,8.7/10
Shake Karaan,"Kanika Kapoor, Meet Bros",Dance,Munna Michael,8.9/10
Thodi Der,"Farhan Saeed, Shreya Ghoshal",Sad,Half Girlfriend,9.4/10
Har Dil Jo Pyar Karega,"Alka Yagnik, Udit Narayan",Dance,Har Dil Jo Pyar Karega,8.4/10
Raabta,Nikhita Gandhi,Romantic,Raabta,9.0/10
Nach Meri Jaan,"Dev Negi, Kamaal khan, Nakash Aziz, Tushar Joshi",Dance,Tubelight,9.1/10
Janam Janam,"Antara Mitra, Arijit Singh",Romantic,Dilwale,9.4/10
Andha Dhun,Raftaar,Dance,Andha Dhun,9.6/10
Holi Biraj Ma,Jubin Nautiyal,Dance,Genius,9.3/10
Kal Ho Naa Ho Title Track,Sonu Nigam,Sad,Kal Ho Naa Ho,9.5/10
Enna Sona,"A.R. Rahman, Arijit Singh",Romantic,Ok Jaanu,9.5/10
Little Little,Harrdy Sandhu,Dance,Yamla Pagla Deewana Phir Se,9.2/10
Disco Disco,"Benny Dayal, Shirley Setia",Dance,A Gentleman,8.9/10
Lambiyaan Si Judaiyaan,"Altamash Faridi, Arijit Singh, Shadaab Faridi",Sad,Raabta,9.6/10
Aahista,"Arijit Singh, Jonita Gandhi",Romantic,Laila Majnu,9.4/10
Kisi Se Tum Pyaar Karo,"Alka Yagnik, Kumar Sanu",Romantic,Andaaz,8.6/10
Sultan Title Song,"Shadaab Faridi, Sukhwinder Singh",Motivational,Sultan,8.9/10
Radio,"Amit Mishra, Kamaal khan",Dance,Tubelight,8.6/10
Sab Badhiya Hai,Sukhwinder Singh,Dance,Sui Dhaaga,9.2/10
Chin Chin Chu,"Jassi Gill, Sonakshi Sinha",Dance,Happy Phirr Bhaag Jayegi,8.7/10
Beat Pe Booty,"Jigar Saraiya, Kanika Kapoor, Sachin Sanghvi, Vayu",Dance,A Flying Jatt,8.9/10
Jag Ghoomeya,Rahat Fateh Ali Khan,Romantic,Sultan,8.7/10
Jogi,"Aakanksha Sharma, Yasser Desai",Romantic,Shaadi Mein Zaroor Aana,9.6/10
Lets Nacho,"Badshah, Benny Dayal",Dance,Kapoor & Sons,9.2/10
Tu Tu Hai Wahi,"Asha Bhosle, Kishore Kumar",Romantic,Yeh Vaada Raha,9.2/10
Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",Dance,Yeh Vaada Raha,9.2/10
Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",Dance,ABCD 2,9.4/10
Jeene Laga Hoon,Atif Aslam,Romantic,Ramaiya Vastavaiya,9.0/10
Nit Khair Manga,Rahat Fateh Ali Khan,Romantic,Raid,9.4/10
Jitni Dafa,"Jeet Gannguli, Yasser Desai",Romantic,Parmanu The Story of Pokhran,9.7/10
Wajah Tum Ho,Armaan Malik,RomanticSensual,Hate Story 3,8.8/10
Rozana,Shreya Ghoshal,Romantic,Naam Shabana,9.6/10
Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",RomanticSad,Namaste England,9.4/10
Gallan Goodiyaan,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",Dance,Dil Dhadakne Do,8.9/10
Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",Dance,Tiger Zinda Hai,9.4/10
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",Dance,Poster Boys,9.0/10
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",Dance,Poster Boys,9.0/10
Aap Se Milkar,"Aakanksha Sharma, Ayushmann Khurrana",Romantic,Andha Dhun,9.5/10
Socha Hai,"Jubin Nautiyal, Neeti Mohan",Romantic,Baadshaho,9.5/10
Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",Sad,Creature 3D,9.3/10
Pehle Ke Jaisa,K.K.,Sad,Jalebi,9.7/10
Main Woh Chaand,Darshan Raval,RomanticSad,Teraa Surroor,9.0/10
Ankhiyon Se Goli Mare,"Jaspinder Narula, Sonu Nigam",Dance,Dulhe Raja,8.2/10
Jab Tak,"Amaal Mallik, Armaan Malik",Romantic,M.S. Dhoni,9.4/10
Luv Letter,"Kanika Kapoor, Meet Bros",Dance,The Legend of Michael Mishra,9.1/10
Yaad Hai Na,Arijit Singh,Romantic,Raaz Reboot,9.1/10
Balma,"Rekha Bhardwaj, Sunidhi Chauhan",Dance,Pataakha,9.2/10
Kisi Se Pyar Ho Jaye,Jubin Nautiyal,DanceRomantic,Kaabil,9.2/10
Sau Aasmaan,"Armaan Malik, Neeti Mohan",Dance,Baar Baar Dekho,9.4/10
Beparwah,"Nandini Deb, Siddharth Basrur",Dance,Munna Michael,9.0/10
Yaad Hai,"Ankit Tiwari, Palak Muchhal",Sad,Aiyaary,9.7/10
Dhayaan Chand,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",Dance,Manmarziyaan,9.4/10
Aaj Zid,Arijit Singh,Sensual,Aksar 2,9.1/10
Hum Pyaar Hai Tumhare,"Alka Yagnik, Kumar Sanu",Romantic,Haan Maine Bhi Pyaar Kiya,8.8/10
Main Hoon,Siddharth Mahadevan,Dance,Munna Michael,9.1/10
Swag Saha Nahi Jaye,"Neha Bhasin, Shadab Faridi, Sohail Sen",Dance,Happy Phirr Bhaag Jayegi,9.1/10
Chote Bade,"Ankit Tiwari, Mika Singh",Dance,Fry Day,8.7/10
Main Hoon Saath Tere,Arijit Singh,Romantic,Shaadi Mein Zaroor Aana,9.7/10
Kabira,"Rekha Bhardwaj, Tochi Raina",Sad,Yeh Jawaani Hai Deewani,9.4/10
Main Kaun Hoon,Meghna Mishra,Sad,Secret Superstar,9.5/10
Aashiq Surrender Hua,"Amaal Mallik, Shreya Ghoshal",Dance,Badrinath Ki Dulhania,8.8/10
Nachan Farrate,"Kanika Kapoor, Meet Bros",Dance,All is Well,8.9/10
Pyar De Pyar Le,"Dev Negi, Ikka, Iulia Vantur",Dance,Genius,9.3/10
Do Peg Maar,Neha Kakkar,Dance,One Night Stand,8.5/10
Jaanu,"Juggy D, Raftaar, Shivi",Dance,Behen Hogi Teri,9.2/10
Hamdard,Arijit Singh,Romantic,Ek Villain,9.5/10
Hawa Hawai 2.0,"Kavita Krishnamurthy, Shashaa Tirupati",Dance,Tumhari Sulu,8.9/10
Dhoom Dhadakka,"Antara Mitra, Shahid Mallya",Dance,Namaste England,9.1/10
Lovely,"Fateh, Kanika Kapoor, Miraya Varma, Ravindra Upadhyay",Dance,Happy New Year,9.3/10
Mohabbat Nasha Hai,"Neha Kakkar, Tony Kakkar",Sad,Hate Story 4,9.4/10
Chal Wahan Jaate Hain,Arijit Singh,Romantic,Heropanti,9.3/10
Ishq De Fanniyar,Jyotica Tangri,Romantic,Fukrey Returns,9.6/10
Palat Tera Hero Idhar Hai,Arijit Singh,DanceRomantic,Main Tera Hero,8.8/10
Tab Bhi Tu,Rahat Fateh Ali Khan,Sad,October,9.6/10
Yeh Ladka Hai Allah,"Alka Yadnik, Udit Narayan",Dance,Kabhi Khushi Kabhie Gham,9.1/10
Tujhe Yaad Na Meri Aayee,"Alka Yagnik, Manpreet Akhtar, Udit Narayan",Sad,Kuch Kuch Hota Hai,8.8/10
Jalte Diye,"Anwesshaa, Harshdeep Kaur, Shabab Sabri, Vineet Singh",Romantic,Prem Ratan Dhan Payo,8.8/10
Zindagi Bana Loon,Palak Muchhal,Romantic,Sweetiee Weds NRI,9.4/10
Humnava,Papon,Sad,Hamari Adhuri Kahani,9.4/10
Galliyan,Ankit Tiwari,Romantic,Ek Villain,9.4/10
Tere Chehre Mein Woh Jaadu Hai,Kishore Kumar,Romantic,Dharmatma,8.1/10
Golmaal Again Title Track,"Aditi Singh Sharma, Brijesh Shandilya",Dance,Golmaal Again,9.0/10
Suno Ganpati Bappa Morya,Amit Mishra,Dance,Judwaa 2,8.5/10
Dil Dene Ki Ruth,"Alka Yagnik, Vinod Rathod",Dance,Prem Granth,7.5/10
Soch Na Sake,"Amaal Mallik, Arijit Singh, Tulsi Kumar",Romantic,Airlift,9.3/10
Tu Meri,Vishal Dadlani,DanceRomantic,Bang bang,9.5/10
Baby Ko Bass Pasand Hai,"Badshah, Ishita, Shalmali Kholgade, Vishal Dadlani",Dance,Sultan,7.9/10
Daddy Mummy,"Devi Sri Prasad, M. M. Manasi",Dance,Bhaag Johnny,9.0/10
Dekha Hazaro Dafaa,"Arijit Singh, Palak Muchhal",Romantic,Rustom,9.6/10
Khatar Patar,Papon,Dance,Sui Dhaaga,9.4/10
Party With The Bhoothnath,Yo Yo Honey Singh,Dance,Bhoothnath Returns,9.0/10
Hasi,Ami Mishra,RomanticSad,Hamari Adhuri Kahani,9.5/10
Good Man Di Laaltein,"Sukhwinder Singh, Sunidhi Chauhan",Dance,Soorma,9.5/10
Kaabil Hoon,"Jubin Nautiyal, Palak Muchhal",Romantic,Kaabil,8.8/10
Manali Trance,"Neha Kakkar, Yo Yo Honey Singh",Dance,The Shaukeens,9.4/10
Main Teri Dushman Dushman Tu,Lata Mangeshkar,Dance,Nagina,7.3/10
Hafiz Hafiz,Mohit Chauhan,Romantic,Laila Majnu,9.4/10
Daryaa,"Ammy Virk, Shahid Mallya",Sad,Manmarziyaan,9.6/10
Main Adhoora,"Aakanksha Sharma, Yasser Desai",Sad,Beiimaan Love,8.8/10
Aao Raja,"Neha Kakkar, Yo Yo Honey Singh",Dance,Gabbar Is Back,9.1/10
